FILE:2017-03-02 08:45:32,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\PD45探洞（渗压计）\PD45探洞渗压计.xls
DATA:PPD45-1-1,98,数据误差超限
DATA:PPD45-1-1,99,数据误差超限
DATA:PPD45-1-1,100,数据误差超限
DATA:PPD45-1-1,101,数据误差超限
DATA:PPD45-1-1,102,数据误差超限
DATA:PPD45-1-1,103,数据误差超限
DATA:PPD45-1-1,104,数据误差超限
DATA:PPD45-1-1,105,数据误差超限
DATA:PPD45-1-1,106,数据误差超限
DATA:PPD45-1-2,104,数据误差超限
DATA:PPD45-1-2,105,数据误差超限
DATA:PPD45-2-1,104,数据误差超限
DATA:PPD45-2-1,105,数据误差超限
DATA:PPD45-2-2,96,数据误差超限
DATA:PPD45-2-2,97,数据误差超限
DATA:PPD45-2-2,98,数据误差超限
DATA:PPD45-2-2,99,数据误差超限
DATA:PPD45-2-2,100,数据误差超限
DATA:PPD45-2-2,101,数据误差超限
DATA:PPD45-2-2,102,数据误差超限
DATA:PPD45-2-2,103,数据误差超限
DATA:PPD45-2-2,104,数据误差超限
DATA:PPD45-3-1,98,数据误差超限
DATA:PPD45-3-1,99,数据误差超限
DATA:PPD45-3-2,97,数据误差超限
DATA:PPD45-3-2,98,数据误差超限
FILE:2017-03-02 08:45:32,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\上下游围堰\上游围堰渗压计.xls
FILE:2017-03-02 08:45:32,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\上下游围堰\下游围堰渗压计.xls
FILE:2017-03-02 08:45:32,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\下游左岸雾化区\雾化区渗压计.xls
FILE:2017-03-02 08:45:32,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\厂后(已移交)\厂后区渗压计.xls
FILE:2017-03-02 08:45:32,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\右坝头监测\右坝头渗压计.xls
FILE:2017-03-02 08:45:32,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝基础（渗压计）\大坝基础渗压计.xls
DATA:PBJ-F133+020,180,数据误差超限
DATA:PBJ-F133+020,181,数据误差超限
DATA:PBJ-F133+020,182,数据误差超限
DATA:PBJ-F133+020,183,数据误差超限
DATA:PBJ-F133+020,184,数据误差超限
DATA:PBJ-F133+020,185,数据误差超限
DATA:PBJ-F133+020,186,数据误差超限
DATA:PBJ-F133+020,187,数据误差超限
DATA:PBJ-F133+020,188,数据误差超限
DATA:PBJ-F133+020,189,数据误差超限
DATA:PBJ-F133+020,190,数据误差超限
DATA:PBJ-F133+020,191,数据误差超限
DATA:PBJ-F133+020,192,数据误差超限
DATA:PBJ-F133+020,193,数据误差超限
DATA:PBJ-F133+020,194,数据误差超限
DATA:PBJ-F133+020,195,数据误差超限
DATA:PBJ-F133+020,196,数据误差超限
DATA:PBJ-F133+020,197,数据误差超限
DATA:PBJ-F133+020,198,数据误差超限
DATA:PBJ-F133+020,199,数据误差超限
DATA:PBJ-F133+020,200,数据误差超限
DATA:PBJ-F133+020,201,数据误差超限
DATA:PBJ-F133+020,202,数据误差超限
DATA:PBJ-F133+020,203,数据误差超限
DATA:PBJ-F133+020,204,数据误差超限
DATA:PBJ-F133+020,205,数据误差超限
DATA:PBJ-F133+020,206,数据误差超限
DATA:PBJ-F133+020,207,数据误差超限
DATA:PBJ-F133+020,208,数据误差超限
DATA:PBJ-F133+020,209,数据误差超限
DATA:PBJ-F133+020,210,数据误差超限
DATA:PBJ-F133+020,211,数据误差超限
DATA:PBJ-F133+020,212,数据误差超限
DATA:PBJ-F133+020,213,数据误差超限
DATA:PBJ-F133+020,214,数据误差超限
DATA:PBJ-F133+020,215,数据误差超限
DATA:PBJ-F133+020,216,数据误差超限
DATA:PBJ-F133+020,217,数据误差超限
DATA:PBJ-F133+020,218,数据误差超限
DATA:PBJ-F133+020,219,数据误差超限
DATA:PBJ-F133+020,220,数据误差超限
DATA:PBJ-F133+020,221,数据误差超限
DATA:PBJ-F133+020,222,数据误差超限
DATA:PBJ-F133+020,223,数据误差超限
DATA:PBJ-F133+020,224,数据误差超限
DATA:PBJ-F133+020,225,数据误差超限
DATA:PBJ-F133+020,226,数据误差超限
DATA:PBJ-F133+020,227,数据误差超限
DATA:PBJ-F133+020,228,数据误差超限
DATA:PBJ-F133+020,229,数据误差超限
DATA:PBJ-F133+020,230,数据误差超限
DATA:PBJ-F133+020,231,数据误差超限
DATA:PBJ-F133+020,232,数据误差超限
DATA:PBJ-F133+020,233,数据误差超限
DATA:PBJ-F133+020,234,数据误差超限
DATA:PBJ-F133+020,235,数据误差超限
DATA:PBJ-F133+020,236,数据误差超限
DATA:PBJ-F133+020,237,数据误差超限
DATA:PBJ-F133+020,238,数据误差超限
DATA:PBJ-F133+020,239,数据误差超限
DATA:PBJ-F133+020,240,数据误差超限
DATA:PBJ-F133+020,241,数据误差超限
DATA:PBJ-F133+020,242,数据误差超限
DATA:PBJ-F133+020,243,数据误差超限
DATA:PBJ-F133+020,244,数据误差超限
DATA:PBJ-F133+020,245,数据误差超限
DATA:PBJ-F133+020,246,数据误差超限
DATA:PBJ-F133+020,247,数据误差超限
DATA:PBJ-F133+020,248,数据误差超限
DATA:PBJ-F133+020,249,数据误差超限
DATA:PBJ-F133+020,250,数据误差超限
DATA:PBJ-F133+020,251,数据误差超限
DATA:PBJ-F133+020,252,数据误差超限
DATA:PBJ-F133+020,253,数据误差超限
DATA:PBJ-F133+020,254,数据误差超限
DATA:PBJ-F133+020,255,数据误差超限
DATA:PBJ-F133+020,256,数据误差超限
DATA:PBJ-F133+020,257,数据误差超限
DATA:PBJ-F133+020,258,数据误差超限
DATA:PBJ-F133+020,259,数据误差超限
DATA:PBJ-F133+020,260,数据误差超限
DATA:PBJ-F133+020,261,数据误差超限
DATA:PBJ-F133+020,262,数据误差超限
DATA:PBJ-F133+020,263,数据误差超限
DATA:PBJ-F133+020,264,数据误差超限
DATA:PBJ-F133+020,265,数据误差超限
DATA:PBJ-F133+020,266,数据误差超限
DATA:PBJ-F133+020,267,数据误差超限
DATA:PBJ-F133+020,268,数据误差超限
DATA:PBJ-F133+020,269,数据误差超限
DATA:PBJ-F133+020,270,数据误差超限
DATA:PBJ-F133+020,271,数据误差超限
DATA:PBJ-F133+020,272,数据误差超限
DATA:PBJ-F112+020,155,数据误差超限
